,pressure,mean,std,variance
0,321.1715101278462,,,
1,320.6370000942438,,,
2,320.1024900606414,,,
3,319.56798002703897,,,
4,319.03346999343654,,,
5,318.4989599598341,,,
6,317.96444992623174,,,
7,317.4299398926293,,,
8,316.8954298590269,,,
9,316.3609198254245,,,
10,315.8264097918221,,,
11,315.29189975821964,,,
12,314.7573897246172,,,
13,314.22287969101484,,,
14,313.6883696574124,,,
15,313.15385962381,,,
16,312.61934959020755,,,
17,312.0848395566052,,,
18,311.55032952300274,,,
19,311.0158194894003,,,
20,310.48130945579794,,,
21,309.9467994221955,,,
22,309.4122893885931,,,
23,308.87777935499065,,,
24,308.3432693213883,,,
25,307.80875928778585,,,
26,307.2742492541834,,,
27,306.73973922058104,,,
28,306.2052291869786,,,
29,305.6707191533762,,,
30,305.13620911977375,,,
31,304.6016990861714,,,
32,304.06718905256895,,,
33,303.5326790189665,,,
34,302.99816898536415,,,
35,302.4636589517617,,,
36,301.9291489181593,,,
37,301.39463888455685,,,
38,300.8601288509545,,,
39,300.32561881735205,,,
40,299.7911087837496,,,
41,299.2565987501472,,,
42,298.7220887165448,,,
43,298.1875786829424,,,
44,297.65306864933996,,,
45,297.1185586157376,,,
46,296.58404858213515,,,
47,296.0495385485327,,,
48,295.5150285149303,,,
49,294.9805184813279,,,
50,294.4460084477255,,,
51,293.91149841412306,,,
52,293.37698838052063,,,
53,292.84247834691826,,,
54,292.3079683133158,,,
55,291.7734582797134,,,
56,291.238948246111,,,
57,290.7044382125086,,,
58,290.16992817890616,,,
59,289.6354181453038,,,
60,289.10090811170136,,,
61,288.5663980780989,,,
62,288.0318880444965,,,
63,287.4973780108941,,,
64,286.9628679772917,,,
65,286.42835794368926,,,
66,285.89384791008683,,,
67,285.35933787648446,,,
68,284.82482784288203,,,
69,284.2903178092796,,,
70,283.7558077756772,,,
71,283.2212977420748,,,
72,282.68678770847237,,,
73,282.15227767486994,,,
74,281.61776764126756,,,
75,281.08325760766513,,,
76,280.5487475740627,,,
77,280.0142375404603,,,
78,279.4797275068579,,,
79,278.94521747325547,,,
80,278.41070743965304,,,
81,277.87619740605066,,,
82,277.34168737244823,,,
83,276.8071773388458,,,
84,276.27266730524343,,,
85,275.738157271641,,,
86,275.20364723803857,,,
87,274.66913720443614,,,
88,274.13462717083377,,,
89,273.60011713723134,,,
90,273.0656071036289,,,
91,272.5310970700265,,,
92,271.9965870364241,,,
93,271.4620770028217,,,
94,270.92756696921924,,,
95,270.39305693561687,,,
96,269.85854690201444,,,
97,269.324036868412,,,
98,268.7895268348096,,,
99,268.2550168012072,,,
100,267.7205067676048,,,
101,267.18599673400234,,,
102,266.6514867003999,,,
103,266.11697666679754,,,
104,265.5824666331951,,,
105,265.0479565995927,,,
106,264.5134465659903,,,
107,263.9789365323879,,,
108,263.44442649878545,,,
109,262.9099164651831,,,
110,262.37540643158064,,,
111,261.8408963979782,,,
112,261.3063863643758,,,
113,260.77187633077335,,,
114,260.237366297171,,,
115,259.70285626356855,,,
116,259.1683462299661,,,
117,258.63383619636375,,,
118,258.0993261627613,,,
119,257.5648161291589,,,
120,257.0303060955565,,,
121,256.4957960619541,,,
122,255.96128602835165,,,
123,255.42677599474922,,,
124,254.89226596114685,,,
125,254.35775592754442,,,
126,253.823245893942,,,
127,253.28873586033959,,,
128,252.75422582673718,,,
129,252.21971579313475,,,
130,251.68520575953232,,,
131,251.15069572592992,,,
132,250.61618569232752,,,
133,250.0816756587251,,,
134,249.5471656251227,,,
135,249.01265559152029,,,
136,248.47814555791786,,,
137,247.94363552431543,,,
138,247.40912549071302,,,
139,246.87461545711062,,,
140,246.3401054235082,,,
141,245.8055953899058,,,
142,245.2710853563034,,,
143,244.73657532270096,,,
144,244.20206528909853,,,
145,243.66755525549613,,,
146,243.13304522189372,,,
147,242.5985351882913,,,
148,242.06402515468886,,,
149,241.52951512108646,,,
150,240.99500508748406,,,
151,240.46049505388163,,,
152,239.92598502027923,,,
153,239.39147498667683,,,
154,238.8569649530744,,,
155,238.32245491947197,,,
156,237.78794488586956,,,
157,237.25343485226716,,,
158,236.71892481866473,,,
159,236.18441478506233,,,
160,235.64990475145993,,,
161,235.1153947178575,,,
162,234.58088468425507,,,
163,234.04637465065267,,,
164,233.51186461705026,,,
165,232.97735458344783,,,
166,232.4428445498454,,,
167,231.90833451624303,,,
168,231.3738244826406,,,
169,230.83931444903817,,,
170,230.30480441543577,,,
171,229.77029438183337,,,
172,229.23578434823094,,,
173,228.7012743146285,,,
174,228.1667642810261,,,
175,227.6322542474237,,,
176,227.09774421382127,,,
177,226.56323418021887,,,
178,226.02872414661647,,,
179,225.49421411301404,,,
180,224.9597040794116,,,
181,224.4251940458092,,,
182,223.8906840122068,,,
183,223.35617397860437,,,
184,222.82166394500197,,,
185,222.28715391139957,,,
186,221.75264387779714,,,
187,221.2181338441947,,,
